Family,Icon Name
Clusters,Camp coordination and camp management
Clusters,Early recovery
Clusters,Education
Clusters,Emergency telecommunications
Clusters,Food security
Clusters,Health
Clusters,Logistics
Clusters,Nutrition
Clusters,Protection
Clusters,Shelter
Clusters,Water sanitation and hygiene
Other sectors,Agriculture
Other sectors,Child care child friendly
Other sectors,Child protection
Other sectors,Coordination
Other sectors,Environment
Other sectors,Fishery
Other sectors,Logistics and telecommunications
Other sectors,Multi-cluster sector
Other sectors,Rule of law and justice
Other sectors,Safety and security
Other sectors,"Shelter, land and site coordination"
"Disasters, hazards and crises",Anticipatory action
"Disasters, hazards and crises",Cold wave
"Disasters, hazards and crises",Conflict
"Disasters, hazards and crises",Cyclone
"Disasters, hazards and crises",Drought
"Disasters, hazards and crises",Earthquake
"Disasters, hazards and crises",Epidemic
"Disasters, hazards and crises",Famine
"Disasters, hazards and crises",Fire
"Disasters, hazards and crises",Flash flood
"Disasters, hazards and crises",Flood
"Disasters, hazards and crises",Heatwave
"Disasters, hazards and crises",Heavy rain
"Disasters, hazards and crises",Humanitarian access
"Disasters, hazards and crises",Insect infestation
"Disasters, hazards and crises",Internally displaced
"Disasters, hazards and crises",Landslide mudslide
"Disasters, hazards and crises",Locust infestation
"Disasters, hazards and crises",Population return
"Disasters, hazards and crises",Poverty
"Disasters, hazards and crises",Refugee
"Disasters, hazards and crises",Resilience
"Disasters, hazards and crises",Snow avalanche
"Disasters, hazards and crises",Snowfall
"Disasters, hazards and crises",Storm
"Disasters, hazards and crises",Storm surge
"Disasters, hazards and crises",Technological disaster
"Disasters, hazards and crises",Tornado
"Disasters, hazards and crises",Tsunami
"Disasters, hazards and crises",Violent wind
"Disasters, hazards and crises",Volcano
"Disasters, hazards and crises",Worm infestation
Socioeconomic and development,Debris management
Socioeconomic and development,Livelihood
Socioeconomic and development,Livestock
Socioeconomic and development,Population growth
Socioeconomic and development,Reconstruction
Socioeconomic and development,Rural
Socioeconomic and development,Rural exodus
Socioeconomic and development,Trade and market
Socioeconomic and development,Urban
Socioeconomic and development,Urban rural
People,Affected population
People,Child combatant
People,Children
People,Dead
People,Drowned
People,Elderly
People,Gender
People,Indigenous people
People,Infant
People,Injured
People,Missing
People,National army
People,Peacekeeping force
People,People affected
People,People covered
People,People in need
People,People in need 2
People,People reached
People,People targeted
People,People targeted 2
People,People with physical impairments
People,Person 1
People,Person 2
People,Pregnant
People,Rebel
People,Resettlement
People,Sex
Activities strategy,Advocacy
Activities strategy,Agile
Activities strategy,Analysis
Activities strategy,Assessment
Activities strategy,Cash transfer
Activities strategy,Civil military coordination
Activities strategy,Community engagement
Activities strategy,Coordinated assessment
Activities strategy,Deployment
Activities strategy,Financing
Activities strategy,Fund
Activities strategy,Gap analysis
Activities strategy,Humanitarian programme cycle
Activities strategy,Information management
Activities strategy,Information technology
Activities strategy,Innovation
Activities strategy,Leadership
Activities strategy,Learning
Activities strategy,Meeting
Activities strategy,Monitoring
Activities strategy,Needs assessment
Activities strategy,Partnership
Activities strategy,Policy
Activities strategy,Preparedness
Activities strategy,Public information
Activities strategy,Reporting
Activities strategy,Response
Activities strategy,Scale down operation
Activities strategy,Scale up operation
Activities strategy,Search and rescue
Activities strategy,Services and tools
Activities strategy,Sexual and reproductive health
Activities strategy,Staff management
Activities strategy,Top ranking
Activities strategy,Training
Product type,API
Product type,Calendar
Product type,Chart
Product type,Data
Product type,Document
Product type,Film
Product type,Live geoservices
Product type,Location
Product type,Map
Product type,P-code
Product type,Photo
Product type,Report
Product type,Table
Product type,Video
Food and non-food items,Blanket
Food and non-food items,Bottled water
Food and non-food items,Bucket
Food and non-food items,Clothing
Food and non-food items,Detergent
Food and non-food items,Flour
